wo_id,asset_id,asset_name,type,priority,status,opened_at,due_date,closed_at,labor_hours,downtime_hours,cost_parts,cost_labor_int,cost_labor_ext,cost_services,cost_misc,cost_total,cost_planned,currency,work_center,cost_center,technician,short_text,criticality
4006767230,10048864,COMPRESOR CTO PREENFRIADO,PM,Baja,Cerrada,2025-09-14T17:00:00,2025-09-14,2025-09-15T00:00:00,3.1906534602797616,0.952899395069745,81117.9,127626.25,617.44,3087.19,1482.42,213313.75268478208,0.0,COP,PM003001,170600038,ANDRES,MTTO BASADO EN CONDICIÓN_SEMANAL,C
4006767235,10048848,COMPRESOR EMP TOMBLEADO,PM,Baja,Cerrada,2025-09-12T17:00:00,2025-09-14,2025-09-15T00:00:00,3.956775237557412,0.2909178381401186,34183.61,24359.99,685.3,3426.48,9085.54,71055.61597082499,0.0,COP,PM003001,170600038,ESTEBAN,MTTO BASADO EN CONDICIÓN_SEMANAL,C
4006785566,10048991,TORRE CONDENSADORA MORRIS,PM,Baja,Cerrada,2025-09-13T01:00:00,2025-09-15,2025-09-15T00:00:00,2.8380740589333486,0.5150571292317145,15357.16,36310.89,136.66,683.29,10960.44,63311.77139103563,0.0,COP,PM003001,170600038,ESTEBAN,PVI_TORRE CONDENSADORA MORRIS_DIARIO,C
4006785464,10048869,COMPRESOR 2 CUARTO WIP,CM,Media,Cerrada,2025-09-13T16:00:00,,2025-09-15T00:00:00,5.027384181853338,6.369235087188642,139.7,33.25,11.06,55.29,26.34,254.565,254.565,COP,PM003001,170600038,JUAN,CAMBIO DE CONTROLADOR TC 900,B
4006709066,10048854,COMPRESOR FRICK DE BAJA 1,PM,Baja,Abierta,2025-09-14T17:00:00,2025-09-15,2025-09-16T00:00:00,3.1369461534349283,0.2559650905676027,22862.83,28358.9,4798.08,23990.38,4022.54,79234.64883853965,0.0,COP,PM003001,170600028,ANDRES,PVI-COMPRESOR FRICK DE BAJA-MEC-1M,C
4006775864,10048854,COMPRESOR FRICK DE BAJA 1,PM,Baja,Abierta,2025-09-13T11:00:00,2025-09-15,2025-09-16T00:00:00,3.118262106001671,0.9360435700489632,158017.49,48153.22,1661.36,8306.79,455.34,214932.83809126823,0.0,COP,PM003001,170600028,ANDRES,PVI-COMPRESOR FRICK DE BAJA-MEC-1S,C
4006742692,10048857,COMPRESOR DE TORNILLO 4 GEA,PM,Baja,Abierta,2025-09-15T17:00:00,2025-09-17,2025-09-16T00:00:00,2.304160354410961,0.1646078175820181,53150.09,14404.63,8288.62,41443.12,3069.09,112066.93478481488,0.0,COP,PM003001,170600028,ANDRES,PVI-COMPRESOR GEA 4-MEC-1S,C
4006739083,10048813,FLASH COOLER IQF STARFOST,PM,Baja,Abierta,2025-09-13T22:00:00,2025-09-14,2025-09-16T00:00:00,3.9869724807855818,0.0449106193923289,28567.91,20860.95,1867.69,9338.43,20007.1,78774.38659422853,0.0,COP,PM003001,170600028,ANDRES,PVI_FLASH COOLER IQF STARFOST,C
4006739085,10048812,FLASH COOLER TÚNELES,PM,Baja,Cerrada,2025-09-15T09:00:00,2025-09-17,2025-09-16T00:00:00,3.030597659797276,0.4350970600030379,130058.72,55233.54,6147.9,30739.49,18162.34,234194.09449749003,0.0,COP,PM003001,170600028,ANDRES,PVI_FLASH COOLER TÚNELES,C
4006386536,10047621,FLASH COOLER IQF SCANICO,PM,Baja,Cerrada,2025-09-15T17:00:00,2025-09-15,2025-09-16T00:00:00,3.5124941187276875,0.992375564055837,45750.87,26834.4,1290.23,6451.17,4069.91,83106.34454705563,0.0,COP,PM003001,170600038,SEBASTIAN,MTTO BASADO EN CONDICIÓN_MENSUAL,C
4006739059,10048814,FLASH COOLER IQF,PM,Baja,Cerrada,2025-09-14T10:00:00,2025-09-14,2025-09-16T00:00:00,3.980746658905909,0.891677266254914,58372.93,45606.04,325.22,1626.09,1338.95,106944.01646758712,0.0,COP,PM003001,170600028,SEBASTIAN,PVI_FLASH COOLER IQF,C
4006739088,10048810,INTERCOOLER IQF STARFROST,PM,Baja,Cerrada,2025-09-13T02:00:00,2025-09-15,2025-09-16T00:00:00,3.946531176029944,0.7486080194569492,29970.95,3335.29,6029.3,30146.49,17269.95,80722.67903841173,0.0,COP,PM003001,170600028,SEBASTIAN,PVI_INTERCOOLER IQF STARFROST,C
4006709071,10048853,COMPRESOR FRICK DE BAJA 2,PM,Baja,Cerrada,2025-09-13T19:00:00,2025-09-14,2025-09-16T00:00:00,4.165385108972786,0.8907924908785249,46339.0,4013.68,4345.94,21729.7,1015.63,73098.012733071,0.0,COP,PM003001,170600028,SEBASTIAN,PVI-COMPRESOR FRICK DE BAJA-MEC-1M,C
4006775871,10048853,COMPRESOR FRICK DE BAJA 2,PM,Baja,Cerrada,2025-09-13T17:00:00,2025-09-13,2025-09-16T00:00:00,3.4015145154905766,0.8934466396978632,13897.42,29628.24,1230.07,6150.33,4553.62,54229.60326728801,0.0,COP,PM003001,170600028,SEBASTIAN,PVI-COMPRESOR FRICK DE BAJA-MEC-1S,C
